pt1_cam1_X,pt1_cam1_Y
579.321888,165.529814
581.377946,169.641930
583.434004,173.754046
579.321888,177.866162
577.265830,184.034337
575.209772,198.426743
573.153714,212.819150
571.097655,251.884253
546.424958,237.491847
542.312842,262.164544
540.256784,290.949357
546.424958,311.509938
542.312842,325.902345
540.256784,334.126577
536.144668,338.238693
523.808319,332.070519
513.528029,332.070519
505.303797,327.958403
497.079564,319.734170
492.967448,303.285706
497.079564,293.005415
511.471971,258.052428
534.088610,231.323673
548.481017,204.594917
556.705249,190.202511
573.153714,175.810104
587.546120,161.417698
597.826411,155.249523
597.826411,157.305581
595.770352,163.473756
587.546120,167.585872
581.377946,181.978279
577.265830,196.370685
571.097655,210.763092
556.705249,212.819150
556.705249,245.716079
550.537075,266.276660
550.537075,282.725125
544.368900,305.341764
546.424958,319.734170
550.537075,340.294751
546.424958,342.350809
546.424958,342.350809
546.424958,342.350809
538.200726,342.350809
527.920436,338.238693
529.976494,330.014461
529.976494,315.622054
536.144668,290.949357
546.424958,274.500892
573.153714,237.491847
589.602178,208.707034
595.770352,179.922220
601.938527,161.417698
606.050643,140.857117
618.386991,124.408652
616.330933,124.408652
616.330933,114.128362
612.218817,124.408652
612.218817,124.408652
610.162759,138.801059
606.050643,138.801059
606.050643,153.193465
601.938527,169.641930
587.546120,188.146453
587.546120,204.594917
583.434004,227.211556
571.097655,251.884253
562.873423,251.884253
556.705249,280.669067
554.649191,295.061473
542.312842,311.509938
542.312842,321.790228
542.312842,332.070519
542.312842,332.070519
523.808319,346.462925
527.920436,340.294751
527.920436,340.294751
523.808319,340.294751
517.640145,330.014461
517.640145,327.958403
523.808319,321.790228
525.864378,311.509938
525.864378,293.005415
532.032552,274.500892
548.481017,249.828195
562.873423,249.828195
577.265830,221.043382
575.209772,210.763092
581.377946,196.370685
581.377946,188.146453
583.434004,177.866162
581.377946,169.641930
581.377946,169.641930
577.265830,169.641930
575.209772,171.697988
571.097655,186.090395
564.929481,190.202511
564.929481,206.650976
552.593133,214.875208
548.481017,229.267614
548.481017,241.603963
542.312842,266.276660
542.312842,290.949357
544.368900,309.453880
544.368900,323.846286
540.256784,325.902345
544.368900,338.238693
544.368900,338.238693
536.144668,340.294751
529.976494,340.294751
527.920436,336.182635
523.808319,330.014461
517.640145,321.790228
519.696203,311.509938
521.752261,293.005415
529.976494,272.444834
536.144668,247.772137
566.985539,233.379731
575.209772,218.987324
573.153714,206.650976
579.321888,194.314627
579.321888,184.034337
579.321888,173.754046
579.321888,169.641930
577.265830,167.585872
573.153714,165.529814
573.153714,171.697988
571.097655,188.146453
564.929481,202.538859
560.817365,212.819150
542.312842,218.987324
540.256784,241.603963
534.088610,264.220602
534.088610,290.949357
536.144668,315.622054
544.368900,325.902345
542.312842,334.126577
542.312842,334.126577
534.088610,348.518983
523.808319,346.462925
523.808319,334.126577
517.640145,332.070519
515.584087,332.070519
509.415913,315.622054
505.303797,301.229648
505.303797,274.500892
511.471971,243.660021
544.368900,225.155498
564.929481,208.707034
564.929481,198.426743
566.985539,188.146453
569.041597,181.978279
569.041597,184.034337
575.209772,179.922220
571.097655,179.922220
564.929481,196.370685
564.929481,206.650976
562.873423,225.155498
540.256784,229.267614
538.200726,247.772137
540.256784,268.332718
540.256784,297.117531
536.144668,309.453880
534.088610,334.126577
542.312842,346.462925
542.312842,350.575042
534.088610,342.350809
521.752261,344.406867
515.584087,338.238693
503.247739,330.014461
492.967448,321.790228
492.967448,315.622054
501.191681,284.781183
492.967448,253.940312
540.256784,235.435789
546.424958,210.763092
560.817365,190.202511
569.041597,184.034337
579.321888,173.754046
583.434004,167.585872
589.602178,165.529814
591.658236,167.585872
583.434004,179.922220
583.434004,190.202511
577.265830,206.650976
564.929481,223.099440
548.481017,231.323673
546.424958,249.828195
544.368900,280.669067
546.424958,299.173589
544.368900,315.622054
548.481017,330.014461
544.368900,338.238693
542.312842,344.406867
532.032552,348.518983
532.032552,348.518983
523.808319,348.518983
511.471971,334.126577
505.303797,325.902345
507.359855,315.622054
507.359855,293.005415
509.415913,262.164544
556.705249,239.547905
562.873423,202.538859
571.097655,184.034337
587.546120,161.417698
597.826411,142.913175
606.050643,128.520768
614.274875,120.296536
614.274875,120.296536
614.274875,120.296536
608.106701,128.520768
603.994585,142.913175
597.826411,153.193465
591.658236,165.529814
587.546120,196.370685
585.490062,212.819150
